province,constituency,number,candidate_name,party,votes_llm,votes_kn,diff,abs_diff
กาฬสินธุ์,4,3,นายสุระชัย ไชยทองศรี,พรรครวมไทยสร้างชาติ,768,3939,-3171,3171
ชลบุรี,5,9,นายพรชัย วงศ์ล้อมนิล,พลังประชารัฐ,855,3766,-2911,2911
สระแก้ว,2,8,นายศิริพงศ์ ทวีวงศ์,เศรษฐกิจ,3362,452,2910,2910
สระแก้ว,2,9,นางสาวกิติชา วงษ์มั่น,ประชาธิปไตยใหม่,452,3362,-2910,2910
กรุงเทพมหานคร,18,9,นางสาวพชรพรรณ ตุ่มระสินปิน,พลังประชารัฐ,359,3260,-2901,2901
กรุงเทพมหานคร,18,8,นายฮาซัน วันนุ,รวมไทยสร้างชาติ,3260,372,2888,2888
ชลบุรี,5,8,นายปรีชา กาญจนบัตร,ประชาธิปัตย์,3766,917,2849,2849
สกลนคร,5,4,นายบัญชา จันทศรี,ประชาชน,12318,15164,-2846,2846
สกลนคร,5,3,นางสาวอภิญญา พันทะสา,เพื่อไทย,15164,12318,2846,2846
กรุงเทพมหานคร,29,1,นายณรงค์ชัย ธารณา,รวมไทยสร้างชาติ,3379,548,2831,2831
กรุงเทพมหานคร,29,9,นางสาวอรพรรณ วัจนะเสถียรกุล,กล้าธรรม,548,3379,-2831,2831
นครราชสีมา,3,9,นางณัฐธยาน์ พิพิทฐานนท์,ไทยก้าวใหม่,362,3174,-2812,2812
นครราชสีมา,3,8,นายชินวัตร ปัญญาปิติโสภณ,เศรษฐกิจ,3174,362,2812,2812
สระแก้ว,1,8,นายชาญ สุคนธ์,ไทยก้าวใหม่,2999,217,2782,2782
กรุงเทพมหานคร,22,11,นายอธิป เพศยนาวิน,ปวงชนไทย,368,2983,-2615,2615
สกลนคร,4,2,ส.อ.ชัยวัน ราชชมภู,พรรคเศรษฐกิจ,3412,830,2582,2582
กรุงเทพมหานคร,32,9,นางสาวขวัญญดาภรณ์ เชี่ยววิทย์,โอกาสใหม่,497,3024,-2527,2527
สระแก้ว,1,7,นางสาวบุญญภา ผูกธรรม,ประชาธิปไตยใหม่,217,2661,-2444,2444
สมุทรปราการ,2,4,นายดุสิต พันธุ์เสือ,ประชาธิปัตย์,2957,559,2398,2398
สุราษฎร์ธานี,2,3,นายวรินทร วิชัยดิษฐ,ประชาชน,12739,15126,-2387,2387
กรุงเทพมหานคร,25,10,นางสาวปราณี ธรรมนิยม,รวมไทยสร้างชาติ,2493,179,2314,2314
ชลบุรี,9,1,นายพีระชัย ชวรัตน์โชติวงศ์,ประชาธิปัตย์,2665,407,2258,2258
ชลบุรี,9,3,นายสกลชัย เจริญรุจิจินต์,พลังประชารัฐ,407,2665,-2258,2258
กรุงเทพมหานคร,31,9,นายวันปิติ สิงหโกวินท์,พรรคพลวัต,702,2889,-2187,2187
กรุงเทพมหานคร,6,3,นายวรวิช กมลโชติรส,รักชาติ,300,2468,-2168,2168
ขอนแก่น,1,8,นายธรรมรัตน์ จันท่าจีน,ประชาธิปัตย์,2719,557,2162,2162
กาฬสินธุ์,1,5,นายชัย คูสกุลรัตน์,พรรคเศรษฐกิจ,1513,3616,-2103,2103
กาฬสินธุ์,1,8,นายเทิดแผ่นดินทอง ธารชัย,พรรคภูมิใจไทย,3616,1513,2103,2103
เชียงใหม่,1,8,นายนิธิวิทย์ เกียรติสยมภู,รวมไทยสร้างชาติ,3033,943,2090,2090
เชียงใหม่,1,9,นายพจนารถ ศรียารัณย,โอกาสใหม่,943,3033,-2090,2090
กรุงเทพมหานคร,25,12,นางสาวเนตรสกาว ชาหอม,ไทยก้าวใหม่,407,2493,-2086,2086
เชียงราย,1,2,นายเอกนิสิต ศรีแก้ว,พรรคพลวัต,1361,3419,-2058,2058
กรุงเทพมหานคร,19,8,นายภูเบศ โพธิ์โซะ,รวมไทยสร้างชาติ,2415,377,2038,2038
กรุงเทพมหานคร,24,9,นางสาวปภาดา ถาวรเศรษฐ,โอกาสใหม่,492,2509,-2017,2017
สมุทรปราการ,2,9,นายณัฐพงษ์ โพธิ์เดช,กล้าธรรม,559,2506,-1947,1947
อุดรธานี,2,8,นายชัยยงค์ ถียัง,ประชาธิปไตยใหม่,2335,399,1936,1936
อุดรธานี,2,9,นายอนันต์ ศรีพันธุ์,พลังประชารัฐ,399,2335,-1936,1936
กรุงเทพมหานคร,1,10,นายพลัฏฐ์ ศิริกุลพิสุทธิ์,รวมไทยสร้างชาติ,2075,168,1907,1907
กรุงเทพมหานคร,19,5,นายศรศักดิ์ สวนแก้ว,ปวงชนไทย,546,2415,-1869,1869
เชียงใหม่,3,1,นายศักดิ์สุบรรณ คันธา,ประชาธิปัตย์,5464,7296,-1832,1832
ลำพูน,1,5,นายประกอบ ยอดยา,กล้าธรรม,4395,2666,1729,1729
เชียงใหม่,8,8,นางสาวกุสุมา บัวพันธ์,กล้าธรรม,3815,5542,-1727,1727
พระนครศรีอยุธยา,2,8,นายปฐมรัตน์ ขวนขวายทรัพย์,เศรษฐกิจ,1953,244,1709,1709
พระนครศรีอยุธยา,2,9,นางสาวธนภรณ์ ผลยาม,พลังประชารัฐ,244,1953,-1709,1709
นนทบุรี,7,9,สิบตำรวจโท สมชาย ศรีเย็น,ทางเลือกใหม่,1006,2686,-1680,1680
กรุงเทพมหานคร,27,9,นายเบสท์ วงศ์ไพโรจน์กุล,ไทยสร้างไทย,524,2202,-1678,1678
กรุงเทพมหานคร,27,8,นายทรงยศ บุญบำรุงชัย,รวมไทยสร้างชาติ,2202,524,1678,1678
มหาสารคาม,5,8,นายเศรษฐวัฒน์ ศิริโกมุท,ไทยพร้อม,2565,930,1635,1635
กรุงเทพมหานคร,32,3,นางสาวกัญญาวีร์ จารุสัมพันธ์กนก,รวมไทยสร้างชาติ,3024,1429,1595,1595
กรุงเทพมหานคร,5,7,นายวศิน รัตตะรังสี,พรรควิชชั่นใหม่,159,1741,-1582,1582
หนองบัวลำภู,2,8,นางสาวณัฐนันท์ พรมนิล,เศรษฐกิจ,1823,249,1574,1574
มหาสารคาม,6,9,นายสรเชษฐ์ โพธิรุกข์,พรรคไทยก้าวหน้า,103,1626,-1523,1523
ชลบุรี,10,1,พลเรือตรี นพดล บงกชกาญจน์,ประชาธิปัตย์,1853,336,1517,1517
ชลบุรี,10,9,นายโอฬาร์ ปัญญปิติพัฒน,พลังประชารัฐ,336,1853,-1517,1517
ศรีสะเกษ,3,9,นายนิพนธ์ บุษราคัมวงศ์,พรรครวมพลัง,113,1611,-1498,1498
กรุงเทพมหานคร,5,8,นางสาวสุภกฤตา ธงไชย,พรรครวมไทยสร้างชาติ,1741,245,1496,1496
ประจวบคีรีขันธ์,1,6,นายไชยวัฒน์ วงศ์วรรณ,ประชาธิปัตย์,2477,1002,1475,1475
สุราษฎร์ธานี,2,7,นายศาสตรา ชูศักดิ์,โอกาสใหม่,1695,3138,-1443,1443
ฉะเชิงเทรา,3,5,นายภานุพงษ์ ไทเศรษฐวัฒน์กุล,พรรคภูมิใจไทย,2003,570,1433,1433
อุดรธานี,6,8,นายประกาศิต ปัญญาใส,เศรษฐกิจ,1487,64,1423,1423
อุดรธานี,6,9,นายธนพล คำศรี,ประชากรไทย,64,1487,-1423,1423
ขอนแก่น,2,2,นางสาวณัฏฐศศิ ประทีปะวณิช,พลังประชารัฐ,3294,1874,1420,1420
สุโขทัย,2,5,นายวศินภัทร์ กิตตินันท์พาณิช,กล้าธรรม,2282,873,1409,1409
สุโขทัย,2,6,นายหอม เอี่ยมสนิท,เศรษฐกิจ,873,2282,-1409,1409
นครราชสีมา,7,9,นางเบญญาภา ทองคำ,เพื่อบ้านเมือง,77,1483,-1406,1406
นครราชสีมา,7,8,นายสุหลี ศรีแสง,เศรษฐกิจ,1483,77,1406,1406
อุดรธานี,7,1,นางสาวอรัญญา ใจมั่น,พรรคพลังประชารัฐ,2408,1003,1405,1405
นครพนม,4,9,นายกฐสักกษัษฐี โคตุทา,รวมไทยสร้างชาติ,233,1637,-1404,1404
นครพนม,4,8,นายบัญชา มาตย์วังแสง,ไทยพร้อม,1637,233,1404,1404
กรุงเทพมหานคร,23,8,นายวัฒนา เช่งไพเราะ,พลังประชารัฐ,1660,290,1370,1370
กาฬสินธุ์,2,8,นายสุทิน คำนาดี,พรรคทางเลือกใหม่,1535,165,1370,1370
อุดรธานี,1,8,ร้อยตรี สง่า เหลืองอร่าม,ประชากรไทย,1648,284,1364,1364
อุดรธานี,1,9,พันตำรวจเอก พินทุรัตน์ ศิริขันธ์ เสนาไชย,พลังประชารัฐ,284,1648,-1364,1364
ขอนแก่น,1,1,พันตำรวจเอกอิทธิกร อุ่นประกอ,พลังประชารัฐ,1366,2719,-1353,1353
อุดรธานี,3,6,นายสาคร ปราบพาล,พรรคพลังประชารัฐ,1594,245,1349,1349
ปทุมธานี,8,1,นายพนพ เกษามา,ประชาธิปัตย์,1978,663,1315,1315
ปทุมธานี,8,8,นายปรีชา ชื่นชนกพิบูล,พลังประชารัฐ,663,1978,-1315,1315
ศรีสะเกษ,2,9,นายสมยศ อำไพ,ปวงชนไทย,81,1392,-1311,1311
ชลบุรี,4,3,นายจักรพล วชิรเสวีกุล,ไทยภักดี,850,2151,-1301,1301
ศรีสะเกษ,3,6,นายสมจิตร ช่วยพันธ์,พรรคเศรษฐกิจ,1611,341,1270,1270
กรุงเทพมหานคร,24,1,นายรัชชานนท์ สมบัติลาภตระกูล,รวมไทยสร้างชาติ,1758,492,1266,1266
ชลบุรี,6,3,นายชยางกูร ธรรมภรณ์,เศรษฐกิจ,1530,268,1262,1262
นครพนม,1,8,นายดาบชัย ทัดสา,เศรษฐกิจ,1388,140,1248,1248
นครพนม,1,9,นายบุญเลิศ พงษ์พิศ,ประชาธิปัตย์,140,1388,-1248,1248
มหาสารคาม,3,8,เรือตรีกุลธร แก้ววิเศษ,เศรษฐกิจ,1307,73,1234,1234
มหาสารคาม,3,9,นายธีราพัทธ์ พาณิชย์,ไทยก้าวใหม่,73,1307,-1234,1234
กรุงเทพมหานคร,6,11,นายนรเสฏฐ์ เธียรประสิทธิ์,ภูมิใจไทย,12088,10856,1232,1232
อุดรธานี,8,9,นางศิริพร แสงจันทร์,ประชาธิปไตยใหม่,634,1842,-1208,1208
กรุงเทพมหานคร,3,13,นายกันต์ณกฤต ยูนิพันธ์,รวมไทยสร้างชาติ,1430,235,1195,1195
กรุงเทพมหานคร,3,11,นายกิตติพศ ถนอมวรารักษ์,รักชาติ,235,1430,-1195,1195
อุบลราชธานี,1,8,นายพิษณุ อธิคมศาสตร์,พลวัต,1098,2283,-1185,1185
อุบลราชธานี,1,6,นายนิมิต จันทเวทย์ศิริ,เศรษฐกิจ,2283,1098,1185,1185
สระแก้ว,2,7,นายเกียรติศักดิ์ สุดแดน,ไทยก้าวใหม่,647,1823,-1176,1176
สระแก้ว,2,3,นายยงยุทธ คมคาย,ภูมิใจไทย,1823,647,1176,1176
ชลบุรี,4,1,นายลิขิต อัศวจารุวรรณ,เพื่อไทย,2151,987,1164,1164
กรุงเทพมหานคร,31,3,นายสรวิศ วัฒนะโชติ,พรรครวมไทยสร้างชาติ,1888,727,1161,1161
นครราชสีมา,15,9,จ่าสิบตำรวจเฉลิม เทียนขุนทด,พรรคทางเลือกใหม่,126,1283,-1157,1157
นครราชสีมา,15,8,นายชมภู โสมกูล,พรรคเศรษฐกิจ,1283,126,1157,1157
ลพบุรี,3,9,นายพรอนันต์ ไชยชาติ,ประชาธิปัตย์,670,1816,-1146,1146
ขอนแก่น,2,8,นายศุภกร สวรรค์ฑากร,รวมไทยสร้างชาติ,1874,742,1132,1132
สกลนคร,5,9,นางสมร เขียวเชย,ประชาธิปไตยใหม่,76,1177,-1101,1101
นครราชสีมา,4,9,นายเดชรักษา ทัพทวี,ไทยพร้อม,182,1271,-1089,1089
กรุงเทพมหานคร,20,9,นายวรชัย สมบัติเจริญกิจ,พรรคพลวัต,424,1483,-1059,1059
ลำพูน,1,6,นายสุริยา บุญนาคค้า,เสรีรวมไทย,3352,4395,-1043,1043
กรุงเทพมหานคร,28,6,นางสาวทิพย์รัมภา วิธูชุลีโชติ,ไทยก้าวไทย,2071,1033,1038,1038
น่าน,2,8,นายสิริไพศาล แสงประจักษ์,ปวงชนไทย,953,1982,-1029,1029
มหาสารคาม,6,6,นายภาสกร สิทธิหาโคตร,พรรคเศรษฐกิจ,1626,611,1015,1015
กรุงเทพมหานคร,6,8,พลตรีดนัย ดิษาภิรมย์,ไทยสร้างไทย,1306,300,1006,1006
มุกดาหาร,1,8,ร.ต.ต.สมบูรณ์ ยงยุทธ,พรรคประชาธิปไตยใหม่,1149,145,1004,1004
มุกดาหาร,1,9,นายสุนทร มีสิทธิ์,พรรคเพื่อบ้านเมือง,145,1149,-1004,1004
นนทบุรี,7,8,นายปรีชา ฉอสุวรรณชาติ,รวมไทยสร้างชาติ,2686,1683,1003,1003
กรุงเทพมหานคร,31,8,พันโทสาธิต หงษ์ทอง,พรรคเศรษฐกิจ,2889,1888,1001,1001
นครราชสีมา,9,9,นางอรุณวรรณ ชาญสัมพันธ์,ไทยก้าวใหม่,151,1150,-999,999
นครราชสีมา,9,8,นายจอน องกระโทก,เศรษฐกิจ,1150,151,999,999
สุพรรณบุรี,4,4,นายยุทธนา โพธสุธน,กล้าธรรม,2547,1556,991,991
กาฬสินธุ์,2,1,นายจรวย ปู่หลุ่น,พรรคประชาธิปไตยใหม่,165,1154,-989,989
น่าน,2,7,พันโทธีร์วัฒน์ เตชะบุญ,เศรษฐกิจ,1650,667,983,983
น่าน,2,9,นายอดิเรก กองแก้ว,รวมไทยสร้างชาติ,667,1650,-983,983
ศรีสะเกษ,2,5,นายพิทยา บุญเฉลียว,กล้าธรรม,1166,201,965,965
นนทบุรี,6,8,นายคุณากร มั่นนทีรัย,กล้าธรรม,823,1741,-918,918
นนทบุรี,6,7,นายเกริกหิรัญ แปลกประเสริฐ,เศรษฐกิจ,1741,823,918,918
กรุงเทพมหานคร,11,8,นางสาวธนาภา อัครมะหะเวทน์,ประชากรไทย,1108,203,905,905
กรุงเทพมหานคร,11,9,นายธีระเดช นาซีก,กล้าธรรม,203,1108,-905,905
กรุงเทพมหานคร,22,12,นายชณทัต รินน์นพคุณ,กล้าธรรม,253,1130,-877,877
สระบุรี,3,7,นายณัฐพล ศรีบุญจันทร์,รวมไทยสร้างชาติ,1247,371,876,876
นครราชสีมา,5,8,นางสาวพิมนกาลล์ ธีร์ก้านพลูกลาง,พลังประชารัฐ,1171,302,869,869
นครราชสีมา,5,9,นางสาวชวัลลักษณ์ ทองสันเทียะ,ไทยภักดี,302,1171,-869,869
นนทบุรี,4,6,นายนนทพันธ์ อัครเจริญรัตน์,เศรษฐกิจ,1501,646,855,855
นนทบุรี,4,1,นายติณณ์ ธณกรณ์,ทางเลือกใหม่,646,1501,-855,855
ชลบุรี,2,9,นายชัยชนะ อาจวารินทร์,พลังประชารัฐ,279,1131,-852,852
ชลบุรี,2,7,นายภักดี โพธิ์แก้ว,เศรษฐกิจ,1131,281,850,850
กรุงเทพมหานคร,28,2,นางสางมัญดา อัฐจินดา,ภูมิใจไทย,13153,12310,843,843
กาฬสินธุ์,6,8,นายจุฬา ศรีบุตตะ,พลังประชารัฐ,1269,452,817,817
ขอนแก่น,1,9,นายเนติธร ช่วยหาร,ไทยภักดี,557,1366,-809,809
ศรีสะเกษ,5,9,นางสาวนภาพร บุตรสอน,ปวงชนไทย,87,887,-800,800
ศรีสะเกษ,5,8,นายประไพย์ ศรีลาชัย,ประชากรไทย,887,87,800,800
บึงกาฬ,2,9,นายเทพปัญชา ทุมโยมา,ไทยก้าวใหม่,130,929,-799,799
บึงกาฬ,2,8,นางจิรารักษ์ ห้องจำปา,รวมไทยสร้างชาติ,929,130,799,799
กรุงเทพมหานคร,6,14,นายชณทัต ปัทะมะภูวดล,รวมไทยสร้างชาติ,2468,1679,789,789
นครปฐม,2,6,พันตำรวจเอก วีรยศ ชื่นกลิ่นธูปศิริ,เศรษฐกิจ,1573,2330,-757,757
นครปฐม,2,8,นายนุกูล ศิริสุวรรณ์,ประชาธิปัตย์,2330,1573,757,757
กรุงเทพมหานคร,24,8,นายกฤษติศักดิ์ พูลสวัสดิ์,เศรษฐกิจ,2509,1758,751,751
กรุงเทพมหานคร,28,8,นายปิ่น แจ้งชะไว,รักชาติ,1609,870,739,739
กรุงเทพมหานคร,32,8,นายวงศธร โชคภัทรชัยกิจ,เศรษฐกิจ,1429,700,729,729
เพชรบูรณ์,4,9,นายทวีศักดิ์ เชื้อบุญมี,พรรคพร้อม,424,1153,-729,729
กรุงเทพมหานคร,22,9,นายอรรถเวช กองนักวงษ์,ไทยสร้างไทย,786,1491,-705,705
ตรัง,4,6,นายอาณัฐชัย ภู่กลาง,พรรคเพื่อไทย,548,1236,-688,688
ชลบุรี,7,8,นายพีธพงศ์ เสนียุติธรรม,เศรษฐกิจ,2100,1412,688,688
ชลบุรี,7,9,นางสาวภัสพร พรประเสริฐ,รวมไทยสร้างชาติ,1412,2100,-688,688
นนทบุรี,7,7,นายมาณัษฐ์ จตุระบุล,เศรษฐกิจ,1683,1006,677,677
สุราษฎร์ธานี,1,9,นายวัชระ ไชยชำนิ,พรรคทางเลือกใหม่,212,884,-672,672
สุราษฎร์ธานี,1,8,นายศิธา วงศ์วรพรรณ,พรรคเศรษฐกิจ,884,212,672,672
ตรัง,4,7,นายเสถียร แก้วงาม,พรรคกล้าธรรม,1236,571,665,665
ศรีสะเกษ,1,9,นายสุรเดช นาจำปา,กล้าธรรม,222,868,-646,646
สกลนคร,1,8,นายบุญญามี วงค์ศรีดา,ทางเลือกใหม่,739,98,641,641
สกลนคร,1,9,นายอภิวัฒน์ มีชัย,พลังประชารัฐ,98,739,-641,641
กำแพงเพชร,3,1,นางสาวมาลิณี กลางชาติ,เศรษฐกิจ,1157,550,607,607
กำแพงเพชร,3,3,นายอรุโณทัย ชุมเสน,โอกาสใหม่,550,1157,-607,607
ปทุมธานี,2,3,นายนิวัฒน์ บุปผามาโล,พรรคเศรษฐกิจ,1037,438,599,599
กรุงเทพมหานคร,20,5,ว่าที่ร้อยตรีหญิงนุชนาฏ หุ่นอยู่,พรรคไทยสร้างไทย,1018,424,594,594
สุรินทร์,2,8,นายพิเชษฐ์ ภูแก้ว,รวมไทยสร้างชาติ,1064,474,590,590
กรุงเทพมหานคร,12,16,นายพิเชฐ เดชอรัญ,โอกาสใหม่,368,945,-577,577
กรุงเทพมหานคร,28,9,นางสาวนัจภัค กรเกษม,กล้าธรรม,1033,1609,-576,576
กรุงเทพมหานคร,10,1,นายชณธัศน์ เหลืองวัฒนะวุฒิ,เศรษฐกิจ,1437,2012,-575,575
ชัยภูมิ,7,9,นายธีรวุฒิ พงษ์จันทร์,ไทยก้าวใหม่,295,867,-572,572
ชัยภูมิ,7,8,นายอดิเรก ดวงจันนี,ประชาธิปไตยใหม่,867,295,572,572
กรุงเทพมหานคร,13,11,นายฐิติพัฒณ์ จันทร์แก้ว,พรรครักชาติ,1323,1887,-564,564
นครราชสีมา,4,8,นายอุทัย มิ่งขวัญ,กล้าธรรม,745,182,563,563
นครพนม,3,1,นายกิตติศักดิ์ ชมจันทร์,ประชาธิปัตย์,1699,1136,563,563
เพชรบูรณ์,4,8,นายธนภาค บุ้งจันทร์,พรรคเศรษฐกิจ,1153,593,560,560
น่าน,2,4,นายชัยวุฒิ คูอาริยะกุล,พลังประชารัฐ,2332,1784,548,548
น่าน,2,6,นางจรวยพร อินสาคำ,ประชาธิปัตย์,1784,2332,-548,548
สุรินทร์,4,5,นายสนธิ แสงชมภู,เศรษฐกิจ,913,368,545,545
สุราษฎร์ธานี,2,2,นายภูรวิช บูลยะธนิน,รวมไทยสร้างชาติ,470,1012,-542,542
ประจวบคีรีขันธ์,3,1,นางสาววรรณอนงค์ หาญพงษ์ธรรม,ประชาชน,11596,12135,-539,539
ประจวบคีรีขันธ์,3,6,นายปณิธาน ประจวบเหมาะ,ไทยสร้างไทย,12135,11596,539,539
นครสวรรค์,5,6,นายทรงธรรม ขจรชัยธนัง,กล้าธรรม,510,1041,-531,531
นครสวรรค์,5,2,นายณัฐสิทธิ์ เหลือกาฬ,เศรษฐกิจ,1041,510,531,531
บึงกาฬ,3,4,string,มิติใหม่,168,697,-529,529
สุรินทร์,5,9,นายภูมิสิน การะเวก,ประชาธิปัตย์,302,828,-526,526
สุรินทร์,5,6,นายกิติพงษ์ สิทธินาม,แรงงานสร้างชาติ,828,302,526,526
ลพบุรี,2,7,นายปัณณทัต มากผล,พลังประชารัฐ,833,317,516,516
ลพบุรี,2,9,นายธนกฤต หงษ์ยนต์,ปวงชนชาวไทย,317,833,-516,516
สุรินทร์,6,9,นายมานพ พุ่มทอง,ไทยทรัพย์ทวี,224,739,-515,515
สุรินทร์,6,8,นายธนกร ศรีโกตะเพ็ชร,ปวงชนไทย,739,224,515,515
ศรีสะเกษ,9,3,นายพงศ์ภัค มงคลชัยพาณิชย์,พลังประชารัฐ,1069,555,514,514
ชลบุรี,8,9,นายอมรฒิพัฒน์ ภูบาล,ไทยภักดี,690,1181,-491,491
นครราชสีมา,10,6,นายสมชาติ เดชดอน,พรรคกล้าธรรม,1050,560,490,490
ชลบุรี,1,9,นายสันติ ถนอมเนื้อ,ปวงชนไทย,183,673,-490,490
ชลบุรี,1,8,นางรชาภา อัศวธาวาทิน,ไทยสร้างไทย,673,183,490,490
อุบลราชธานี,3,9,นายลำชี มะโนรัตน์,เพื่อบ้านเมือง,259,745,-486,486
นนทบุรี,3,10,นายปัญญา สุขขจีธำรง,ทางเลือกใหม่,957,474,483,483
ชัยภูมิ,5,10,นายศรคม ภาชา,พลังประชารัฐ,233,711,-478,478
ศรีสะเกษ,1,2,นางสาวฉวี ปิ่นหอม,ปวงชนไทย,868,394,474,474
เชียงใหม่,8,7,นางสาวณาญาณนันท์ สุริยา,โอกาสใหม่,3352,3815,-463,463
บึงกาฬ,3,2,string,เพื่อชาติไทย,1342,882,460,460
นครศรีธรรมราช,6,9,นางเกษศิรินทร์ ช่วยศรีทอง,ประชาธิปไตยใหม่,100,520,-420,420
นครศรีธรรมราช,6,8,ว่าที่ ร.ต.อ.วิรัตน์ บุญเชิด,ไทยภักดี,520,100,420,420
ศรีสะเกษ,9,7,นายคัมภีรพจน์ สายเพ็ชร,เศรษฐกิจ,555,137,418,418
อุบลราชธานี,8,8,นายดลเดช แก้วใส,ประชาธิปัตย์,612,194,418,418
อุบลราชธานี,8,9,นางสาวณัฏฐณิชา วันดึก,เพื่อบ้านเมือง,194,612,-418,418
สมุทรสาคร,4,8,ว่าที่ ร.อ.สุประเสริฐ ชาวบ้านเกาะ,พรรคเศรษฐกิจ,1330,1745,-415,415
สมุทรสาคร,4,5,นายอภินันท์ หวันประวัติ,ประชาธิปัตย์,1745,1330,415,415
ชัยภูมิ,5,7,นายวิชัย ปัญญา,ไทยทรัพย์ทวี,646,233,413,413
สุพรรณบุรี,1,9,นายศุภกิจ กลิ่นหอม,พลังประชารัฐ,388,800,-412,412
กรุงเทพมหานคร,28,5,นางสาวธัญญ์ภรณ์ สุจารีรัตน์,เศรษฐกิจ,2236,1831,405,405
กรุงเทพมหานคร,8,8,นางสาวสุวีรา เติมรุ่งเรืองเลิศ,รักชาติ,462,865,-403,403
กรุงเทพมหานคร,32,15,นางสาวปวิตรา จิตตกิจ,ประชาชน,39727,39327,400,400
นครปฐม,5,8,นายภคพล ขาวพัฒนวรรณ,เพื่อบ้านเมือง,675,275,400,400
นครปฐม,5,9,นางลาวัลย์ สิงห์สถิต,โอกาสใหม่,275,675,-400,400
นครราชสีมา,1,8,นายพิชิต เคหะสุวรรณ์,พลังประชารัฐ,757,358,399,399
นครราชสีมา,1,1,นายสาคร ลักษณะสุข,รวมใจไทย,358,757,-399,399
สุพรรณบุรี,4,6,นายสหรัฐ กุลศรี,พลังประชารัฐ,1648,1254,394,394
สุพรรณบุรี,4,8,นายศรัณย์กร โชติวิชญทรรศน์,เศรษฐกิจ,1254,1648,-394,394
นนทบุรี,1,9,นายสุรพันธ์ ไวยากรณ์,พลวัต,791,1184,-393,393
สระแก้ว,3,6,นายพรพล เอกอรรถพร,ประชาธิปัตย์,1937,2324,-387,387
มหาสารคาม,1,2,พันตำรวจเอกชัยสิทธิ์ ภความนตรี,พลังประชารัฐ,890,503,387,387
สระแก้ว,3,5,นายประสิทธิ์ แก้วประสิทธิ์,ภูมิใจไทย,2324,1937,387,387
นครนายก,1,5,นายสำเร็จ ศรีจันทร์,ประชาธิปัตย์,908,1290,-382,382
นครนายก,1,4,พลโท วีรากร ประกอบ,รวมไทยสร้างชาติ,1290,908,382,382
กาฬสินธุ์,2,9,นายอรรถวัฒน์ มณีพันธุ์,พรรคประชาธิปัตย์,1154,1535,-381,381
ชัยภูมิ,5,8,ส.อ.นิติภัส สุภาพงษ์นันทกุล,รวมไทยสร้างชาติ,448,71,377,377
ชัยภูมิ,5,9,นายจงเจริญ เอกทวีกุล,ประชากรไทย,278,646,-368,368
สงขลา,2,9,นายธาราดร พรหมสุทธิ์,พลังประชารัฐ,83,450,-367,367
สงขลา,2,8,นายประกอบ ปลอด,รวมไทยสร้างชาติ,450,83,367,367
กาฬสินธุ์,5,11,นางรัศมี โพธะศรี,เศรษฐกิจ,824,457,367,367
กรุงเทพมหานคร,17,8,นางสาวณัฐิดา เตาเฟ็ส,พรรคไทยก้าวใหม่,1967,1604,363,363
กรุงเทพมหานคร,17,9,นายกรัณ ดรัลพงศ์,พรรครวมไทยสร้าง,1604,1967,-363,363
กรุงเทพมหานคร,23,18,นายฐิติ วิรทัศนุสรณ์,วิชชั่นใหม่,203,563,-360,360
ชลบุรี,8,4,นายนิมิต ไมตรีวงค์,ปวงชนไทย,1043,690,353,353
กรุงเทพมหานคร,20,1,นายหวังจันทร์ ยิ้มวิไล,พรรคโอกาสใหม่,1483,1135,348,348
กาฬสินธุ์,1,2,นางสาวปฐมาภรณ์ มงคลสินธุ์,พรรคประชาธิปัตย์,1045,700,345,345
นนทบุรี,2,8,นางสาวสมบูรณ์วรรณ ตรีสินธุ์ไชย,พลังประชารัฐ,906,563,343,343
นนทบุรี,2,9,นางสาวภควรรณ กุลปัญญาพินิจ,กล้าธรรม,563,906,-343,343
สระแก้ว,1,1,นายอภิวัฒน์ จันแปรน,ประชาธิปัตย์,2661,2999,-338,338
ลพบุรี,3,1,พันเอกสุชาติ คัดสูงเนิน,กล้าธรรม,467,801,-334,334
กรุงเทพมหานคร,25,8,นายธรรมนูญ เทียบขุนทด,พลังประชารัฐ,688,357,331,331
อุบลราชธานี,2,8,นายเจริญชัย คำแฝง,เศรษฐกิจ,1006,677,329,329
อุบลราชธานี,2,9,นางสาวณฐพร บุญประสิทธิ์,ประชาธิปัตย์,677,1006,-329,329
กรุงเทพมหานคร,4,9,นายรุจิระ อัคราพิริยพงศ์,ไทยสร้างไทย,418,739,-321,321
กรุงเทพมหานคร,4,8,ว่าที่ร้อยตรีหญิงปภัสราวรรณ ม่วงไหม,กล้าธรรม,739,418,321,321
ปทุมธานี,7,9,นางสาวศวิตา แสนสวาท,รักชาติ,489,806,-317,317
ปทุมธานี,7,1,นายเอกธนัช เจริญรูป,ไทยก้าวใหม่,806,489,317,317
นครราชสีมา,13,3,นายวิชัย ขอหมั่นกลาง,เพื่อบ้านเมือง,310,0,310,310
นครราชสีมา,13,8,ถูกถอนชื่อ,กล้าธรรม,0,310,-310,310
ปทุมธานี,2,8,นายชัยอนันต์ สิริเบญสานนท์,พรรคกล้าธรรม,727,1037,-310,310
กรุงเทพมหานคร,25,6,นางสาวญาตาวี เซ็นเชาวนิช,พลวัต,980,688,292,292
